id,sex,dor,side,size
B001,mle,0.02230282,el,6.193620793
B002,fem,0.019054837,el,6.194657223
B003,mle,0.085746766,el,5.555368561
B006,mle,0.010501813,el,5.253375427
B008,mle,0.019542034,el,5.04784798
B009,mle,0.021490824,el,5.545353897
B010,fem,0.039463,el,6.085430701
B011,fem,0.051534672,el,6.483579659
B012,fem,0.070751908,el,6.974995182
B013,fem,0.042007254,el,5.571528831
B014,mle,0.067179126,el,6.266526044
B015,fem,0.04742056,el,6.036801265
B016,mle,0.019542034,el,5.542898178
B017,mle,0.018838305,el,5.732136402
B018,mle,0.035132355,el,6.198171594
B019,fem,NA,el,6.749414501
B020,mle,0.040816327,el,5.793604679
B033,fem,0.040004331,el,6.343756241
B034,mle,0.031397174,el,5.329170592
B035,fem,0.026092134,el,6.276217482
B036,mle,0.031451307,el,5.588562131
B037,fem,0.042602717,el,6.833786598
B039,fem,0.085746766,el,7.59270478
B040,mle,0.021707357,el,5.194732246
B041,fem,0.038272073,el,7.352859313
B042,fem,0.033562497,el,6.527651121
B043,mle,0.012937801,el,5.380468841
B046,mle,0.068694852,el,6.01870136
B047,mle,0.021653224,el,6.266838424
B048,fem,0.063822877,el,6.431611894
B061,mle,NA,el,5.619990848
B062,mle,0.020895361,el,5.374839201
B063,fem,0.062090619,el,5.738659666
B064,fem,0.038380339,el,5.923310811
B065,mle,0.024901207,el,5.589234517
B066,mle,0.050506144,el,4.925216953
B067,mle,0.057759974,el,5.373436005
B069,mle,0.034591025,el,5.279563191
B071,mle,0.028419856,el,5.994059077
B072,fem,0.067882856,el,6.403205927
B073,mle,0.04281925,el,4.760733543
B074,mle,0.040491528,el,5.55636951
B075,mle,0.023331348,el,5.993016205
B076,fem,0.015915119,el,5.820370463
B078,fem,0.037405944,el,6.156091741
B079,fem,0.050776809,el,5.38001751
B080,fem,0.043631246,el,6.508093351
B081,fem,0.037676609,el,6.245244375
B082,mle,0.034482759,el,5.707932356
B083,fem,0.033183565,el,6.322370879
