id,sex,lft,side,size
B001,mle,0.038822961,el,6.193620793
B002,fem,0.017988509,el,6.194657223
B003,mle,0.059335231,el,5.555368561
B006,mle,0.02921119,el,5.253375427
B008,mle,0.037695323,el,5.04784798
B009,mle,0.029050099,el,5.545353897
B010,fem,0.060033292,el,6.085430701
B011,fem,0.072329915,el,6.483579659
B012,fem,0.075283252,el,6.974995182
B013,fem,0.052139827,el,5.571528831
B014,mle,0.052193524,el,6.266526044
B015,fem,0.061966386,el,6.036801265
B016,mle,0.028727917,el,5.542898178
B017,mle,0.016807174,el,5.732136402
B018,mle,0.036030715,el,6.198171594
B019,fem,0.021747302,el,6.749414501
B020,mle,0.047629276,el,5.793604679
B033,fem,0.062234871,el,6.343756241
B034,mle,0.048810611,el,5.329170592
B035,fem,0.037480535,el,6.276217482
B036,mle,0.04736079,el,5.588562131
B037,fem,0.087257692,el,6.833786598
B039,fem,0.104279654,el,7.59270478
B040,mle,0.037426838,el,5.194732246
B041,fem,0.078934651,el,7.352859313
B042,fem,0.063845782,el,6.527651121
B043,mle,NA,el,5.380468841
B046,mle,0.092788487,el,6.01870136
B047,mle,0.022660151,el,6.266838424
B048,fem,0.083498899,el,6.431611894
B061,mle,0.043601998,el,5.619990848
B062,mle,0.034527198,el,5.374839201
B063,fem,0.067550878,el,5.738659666
B064,fem,0.05589862,el,5.923310811
B065,mle,0.032164528,el,5.589234517
B066,mle,0.053321162,el,4.925216953
B067,mle,0.034258712,el,5.373436005
B069,mle,0.059388928,el,5.279563191
B071,mle,0.037802717,el,5.994059077
B072,fem,0.074101917,el,6.403205927
B073,mle,0.029748161,el,4.760733543
B074,mle,0.034205015,el,5.55636951
B075,mle,0.026580035,el,5.993016205
B076,fem,0.013961231,el,5.820370463
B078,fem,0.062664447,el,6.156091741
B079,fem,0.052247221,el,5.38001751
B080,fem,0.054770982,el,6.508093351
B081,fem,0.054824679,el,6.245244375
B082,mle,0.047468185,el,5.707932356
B083,fem,0.061536809,el,6.322370879
B084,fem,0.045320303,el,6.82332517
B085,mle,0.038447082,el,5.450500967
B086,mle,0.038769264,el,5.395780561
B087,fem,0.039306234,el,6.356754064
B089,mle,0.055039467,el,5.446566541
B090,mle,0.034473501,el,4.946502299
B091,mle,0.038124899,el,5.11683781
B092,fem,0.085378296,el,6.527027341
B093,mle,0.029425979,el,5.321850778
B094,fem,0.024217366,el,6.394825025
B096,mle,0.073457552,el,6.108395102
B097,mle,0.037910111,el,5.932491478
B098,mle,0.038876658,el,5.446129817
B099,mle,0.046609032,el,5.106987749
B100,mle,0.031305375,el,4.849248581
B101,fem,0.062020083,el,5.694404444
B102,mle,0.043601998,el,5.315138937
B103,mle,0.070396821,el,5.180400046
B001,mle,0.038822961,ew,4.442524112
B002,fem,0.017988509,ew,4.942937771
B003,mle,0.059335231,ew,4.095872051
B006,mle,0.02921119,ew,4.052815983
B008,mle,0.037695323,ew,3.973079909
B009,mle,0.029050099,ew,4.184626698
B010,fem,0.060033292,ew,5.095373433
B011,fem,0.072329915,ew,5.321708041
B012,fem,0.075283252,ew,5.744851894
B013,fem,0.052139827,ew,4.527787503
B014,mle,0.052193524,ew,4.52976533
B015,fem,0.061966386,ew,4.999568134
B016,mle,0.028727917,ew,4.397965373
B017,mle,0.016807174,ew,4.215850724
B018,mle,0.036030715,ew,4.471110437
B019,fem,0.021747302,ew,5.367722137
B020,mle,0.047629276,ew,4.238380974
B033,fem,0.062234871,ew,5.143982421
B034,mle,0.048810611,ew,4.044084751
B035,fem,0.037480535,ew,5.300953286
B036,mle,0.04736079,ew,4.261857686
B037,fem,0.087257692,ew,5.731667814
B039,fem,0.104279654,ew,6.091164123
B040,mle,0.037426838,ew,3.942018438
B041,fem,0.078934651,ew,6.017313347
B042,fem,0.063845782,ew,5.297882937
B043,mle,NA,ew,4.15048835
B046,mle,0.092788487,ew,4.658230206
B047,mle,0.022660151,ew,4.619213455
B048,fem,0.083498899,ew,5.185405509
B061,mle,0.043601998,ew,4.085776072
B062,mle,0.034527198,ew,4.119099445
B063,fem,0.067550878,ew,4.874429927
B064,fem,0.05589862,ew,5.355476298
B065,mle,0.032164528,ew,4.268519818
B066,mle,0.053321162,ew,3.732340395
B067,mle,0.034258712,ew,4.175956426
B069,mle,0.059388928,ew,4.09710772
B071,mle,0.037802717,ew,4.53801653
B072,fem,0.074101917,ew,5.225660126
B073,mle,0.029748161,ew,3.554160041
B074,mle,0.034205015,ew,4.272795414
B075,mle,0.026580035,ew,4.587785855
B076,fem,0.013961231,ew,4.674068657
B078,fem,0.062664447,ew,4.824478716
B079,fem,0.052247221,ew,3.801872697
B080,fem,0.054770982,ew,5.376018728
B081,fem,0.054824679,ew,5.179279323
B082,mle,0.047468185,ew,4.078432243
B083,fem,0.061536809,ew,5.398726783
B084,fem,0.045320303,ew,5.449468581
B085,mle,0.038447082,ew,4.011275931
B086,mle,0.038769264,ew,4.161880478
B087,fem,0.039306234,ew,5.236430121
B089,mle,0.055039467,ew,4.276223608
B090,mle,0.034473501,ew,3.646919944
B091,mle,0.038124899,ew,4.024831743
B092,fem,0.085378296,ew,5.384926184
B093,mle,0.029425979,ew,4.136099266
B094,fem,0.024217366,ew,5.04699191
B096,mle,0.073457552,ew,4.505425583
B097,mle,0.037910111,ew,4.556748667
B098,mle,0.038876658,ew,4.118274701
B099,mle,0.046609032,ew,3.891923936
B100,mle,0.031305375,ew,3.627658455
B101,fem,0.062020083,ew,4.816898902
B102,mle,0.043601998,ew,3.925396319
B103,mle,0.070396821,ew,3.788313165
B001,mle,0.038822961,eh,2.523972505
B002,fem,0.017988509,eh,3.678794159
B003,mle,0.059335231,eh,2.298973694
B006,mle,0.02921119,eh,2.467667764
B008,mle,0.037695323,eh,2.262860279
B009,mle,0.029050099,eh,2.262607116
B010,fem,0.060033292,eh,3.068460112
B011,fem,0.072329915,eh,2.611824082
B012,fem,0.075283252,eh,3.423895742
B013,fem,0.052139827,eh,3.664721997
B014,mle,0.052193524,eh,2.29246887
B015,fem,0.061966386,eh,2.968007449
