"SampleId","Area","Sex","Side"
"B002",0.0177899602278835,"fem","lateral"
"B010",0.063151671503816,"fem","lateral"
"B011",0.0827689992475546,"fem","lateral"
"B012",0.0801891862839944,"fem","lateral"
"B013",0.0536923573040955,"fem","lateral"
"B015",0.0622917338492959,"fem","lateral"
"B019",0.0219821562936687,"fem","lateral"
"B033",0.0632054176072235,"fem","lateral"
"B035",0.0370310652477695,"fem","lateral"
"B037",0.0962592712028378,"fem","lateral"
"B039",0.106256046436633,"fem","lateral"
"B041",0.0784155648715468,"fem","lateral"
"B042",0.0662151993980436,"fem","lateral"
"B048",0.0839514135225196,"fem","lateral"
"B063",0.0738471460819091,"fem","lateral"
"B064",0.0561646780608406,"fem","lateral"
"B072",0.0788455336988068,"fem","lateral"
"B076",0.0133827797484682,"fem","lateral"
"B078",0.063044179297001,"fem","lateral"
"B079",0.0500913683757928,"fem","lateral"
"B080",0.0554122326131355,"fem","lateral"
"B081",0.0576158228528432,"fem","lateral"
"B083",0.0671826292593787,"fem","lateral"
"B084",0.0509513060303128,"fem","lateral"
"B087",0.0392884015908847,"fem","lateral"
"B092",0.0885735784155649,"fem","lateral"
"B094",0.0242394926367838,"fem","lateral"
"B101",0.0607330968504783,"fem","lateral"
"B001",0.0403095775556272,"mle","lateral"
"B003",0.0600343975061808,"mle","lateral"
"B006",0.0293991185639041,"mle","lateral"
"B008",0.0442330431043749,"mle","lateral"
"B009",0.0299903257013866,"mle","lateral"
"B014",0.0522949586155004,"mle","lateral"
"B020",0.0468128560679351,"mle","lateral"
"B016",0.0306352789422767,"mle","lateral"
"B017",0.0167687842631409,"mle","lateral"
"B018",0.0347199828012469,"mle","lateral"
"B034",0.0487477157906052,"mle","lateral"
"B036",0.0481027625497151,"mle","lateral"
"B040",0.0379447490056971,"mle","lateral"
"B046",0.0968504783403203,"mle","lateral"
"B047",0.0274105127378265,"mle","lateral"
"B061",0.0479415242394926,"mle","lateral"
"B062",0.0329463613887993,"mle","lateral"
"B065",0.0333225841126518,"mle","lateral"
"B066",0.0560034397506181,"mle","lateral"
"B067",0.0350424594216919,"mle","lateral"
"B069",0.0587444910244007,"mle","lateral"
"B071",0.0389121788670321,"mle","lateral"
"B073",0.0312802321831667,"mle","lateral"
"B074",0.0354186821455445,"mle","lateral"
"B075",0.026819305600344,"mle","lateral"
"B090",0.0377835106954746,"mle","lateral"
"B091",0.0390734171772546,"mle","lateral"
"B082",0.0491776846178652,"mle","lateral"
"B085",0.0432656132430399,"mle","lateral"
"B086",0.0379984951091046,"mle","lateral"
"B089",0.0547672793722455,"mle","lateral"
"B093",0.0288079114264216,"mle","lateral"
"B096",0.0792217564226594,"mle","lateral"
"B097",0.0411157691067398,"mle","lateral"
"B098",0.0381597334193271,"mle","lateral"
"B099",0.0522412125120929,"mle","lateral"
"B100",0.0343437600773944,"mle","lateral"
"B102",0.0436955820702999,"mle","lateral"
"B103",0.0702999032570139,"mle","lateral"
"B002",0.0190548367888269,"fem","dorsal"
"B010",0.0394630000541331,"fem","dorsal"
"B011",0.0515346722243274,"fem","dorsal"
"B012",0.0707519081903318,"fem","dorsal"
"B013",0.0420072538299139,"fem","dorsal"
"B015",0.0474205597358307,"fem","dorsal"
"B033",0.0400043306447247,"fem","dorsal"
"B035",0.0260921344665187,"fem","dorsal"
"B037",0.0426027174795648,"fem","dorsal"
"B039",0.0857467655497212,"fem","dorsal"
"B041",0.0382720727548314,"fem","dorsal"
"B042",0.0335624966166838,"fem","dorsal"
"B048",0.0638228766307584,"fem","dorsal"
"B063",0.062090618740865,"fem","dorsal"
"B064",0.0383803388729497,"fem","dorsal"
"B072",0.067882856060196,"fem","dorsal"
"B076",0.0159151193633952,"fem","dorsal"
"B078",0.0374059438098847,"fem","dorsal"
"B079",0.0507768093974991,"fem","dorsal"
"B080",0.043631245601689,"fem","dorsal"
"B081",0.0376766091051805,"fem","dorsal"
"B083",0.0331835652032696,"fem","dorsal"
"B084",0.033291831321388,"fem","dorsal"
"B087",0.0163481838358686,"fem","dorsal"
"B092",0.0659881989931251,"fem","dorsal"
"B094",0.0250636063443945,"fem","dorsal"
"B101",0.0212201591511936,"fem","dorsal"
"B001",0.022302820332377,"mle","dorsal"
"B003",0.0857467655497212,"mle","dorsal"
"B006",0.0105018134574785,"mle","dorsal"
"B008",0.0195420343203594,"mle","dorsal"
"B009",0.0214908244464895,"mle","dorsal"
