"SampleId","Area","Sex","Side"
"B002",0.0144982011491167,"fem","lateral"
"B010",0.0605702625785319,"fem","lateral"
"B011",0.0691080921441229,"fem","lateral"
"B012",0.0752832518928207,"fem","lateral"
"B013",0.0467164259249315,"fem","lateral"
"B015",0.0586908661332761,"fem","lateral"
"B019",0.0197068141545401,"fem","lateral"
"B033",0.0634699028083553,"fem","lateral"
"B035",0.0352789561295173,"fem","lateral"
"B037",0.0909627879503839,"fem","lateral"
"B039",0.0972990388229609,"fem","lateral"
"B041",0.069322880309295,"fem","lateral"
"B042",0.0597111099178435,"fem","lateral"
"B048",0.0805455619395371,"fem","lateral"
"B063",0.0596037158352575,"fem","lateral"
"B064",0.051978735971648,"fem","lateral"
"B072",0.0644901465929227,"fem","lateral"
"B076",0.0128335928690329,"fem","lateral"
"B078",0.0571873489770714,"fem","lateral"
"B079",0.0507974010632014,"fem","lateral"
"B080",0.054287708747248,"fem","lateral"
"B081",0.0519250389303549,"fem","lateral"
"B083",0.0540729205820759,"fem","lateral"
"B084",0.0416152070020942,"fem","lateral"
"B087",0.0370509584921871,"fem","lateral"
"B092",0.0904795145787467,"fem","lateral"
"B094",0.0287279170917682,"fem","lateral"
"B101",0.056328196316383,"fem","lateral"
"B001",0.0388229608548569,"mle","lateral"
"B003",0.0593352306287924,"mle","lateral"
"B006",0.0292111904634055,"mle","lateral"
"B008",0.0376953229877034,"mle","lateral"
"B009",0.0290500993395264,"mle","lateral"
"B014",0.0521935241368201,"mle","lateral"
"B020",0.047629275626913,"mle","lateral"
"B016",0.0287279170917682,"mle","lateral"
"B017",0.0168071739247167,"mle","lateral"
"B018",0.0360307147076196,"mle","lateral"
"B034",0.0488106105353595,"mle","lateral"
"B036",0.0473607904204478,"mle","lateral"
"B040",0.0374268377812383,"mle","lateral"
"B046",0.0927884873543468,"mle","lateral"
"B047",0.0226601514256564,"mle","lateral"
"B061",0.0436019975299361,"mle","lateral"
"B062",0.0345271975514149,"mle","lateral"
"B065",0.0321645277345218,"mle","lateral"
"B066",0.0533211620039736,"mle","lateral"
"B067",0.0342587123449498,"mle","lateral"
